year,EL_no,EL_name_general,EL_name_sub,public,value
2008,1,1 : Espace public,Espace public,Femmes,48
2008,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Femmes,
2008,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Femmes,72
2008,3,3 : Foyer d'hébergement,Maisons d'accueil,Femmes,
2008,3,3 : Foyer d'hébergement,Logements de transit,Femmes,
2008,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Femmes,221
2008,4,4 : En institution,Institutions médicales,Femmes,
2008,4,4 : En institution,Asile,Femmes,
2008,5,5 : Logement non-conventionnel,SHNA,Femmes,11
2008,5,5 : Logement non-conventionnel,Occupations négociées,Femmes,7
2008,5,5 : Logement non-conventionnel,Squats,Femmes,36
2008,6,6 : Chez des tiers,Chez des tiers,Femmes,
2008,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Femmes,329
2008,1,1 : Espace public,Espace public,Hommes,13
2008,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Hommes,
2008,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Hommes,209
2008,3,3 : Foyer d'hébergement,Maisons d'accueil,Hommes,
2008,3,3 : Foyer d'hébergement,Logements de transit,Hommes,
2008,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Hommes,381
2008,4,4 : En institution,Institutions médicales,Hommes,
2008,4,4 : En institution,Asile,Hommes,
2008,5,5 : Logement non-conventionnel,SHNA,Hommes,40
2008,5,5 : Logement non-conventionnel,Occupations négociées,Hommes,46
2008,5,5 : Logement non-conventionnel,Squats,Hommes,193
2008,6,6 : Chez des tiers,Chez des tiers,Hommes,
2008,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Hommes,783
2008,1,1 : Espace public,Espace public,X,
2008,2,2 : Dispositifs d'urgence,Hébergement d'urgence,X,
2008,2,2 : Dispositifs d'urgence,Plateforme citoyenne,X,
2008,3,3 : Foyer d'hébergement,Maisons d'accueil,X,
2008,3,3 : Foyer d'hébergement,Logements de transit,X,
2008,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,X,
2008,4,4 : En institution,Institutions médicales,X,
2008,4,4 : En institution,Asile,X,
2008,5,5 : Logement non-conventionnel,SHNA,X,
2008,5,5 : Logement non-conventionnel,Occupations négociées,X,
